card_id,category,item

104053130,Экстерьер,рейлинги на крыше
104053130,Системы безопасности,ABS
104053130,Системы безопасности,ESP
104053130,Системы безопасности,антипробуксовочная
104053130,Системы безопасности,иммобилайзер
104053130,Системы безопасности,сигнализация
104053130,Подушки,передние
104053130,Подушки,боковые
104053130,Интерьер,тёмный
104053130,Интерьер,велюр
104053130,Комфорт,круиз-контроль
104053130,Комфорт,передние электро-стеклоподъёмники
104053130,Комфорт,задние электро-стеклоподъёмники
104053130,Обогрев,сидений
104053130,Обогрев,зеркал
104053130,Климат,климат-контроль
104053130,Климат,кондиционер
104191743,Экстерьер,легкосплавные диски
104191743,Системы безопасности,ABS
104191743,Системы безопасности,иммобилайзер
104191743,Подушки,передние
104191743,Интерьер,тёмный
104191743,Интерьер,ткань
104191743,Комфорт,круиз-контроль
104191743,Комфорт,управление мультимедиа с руля
104191743,Комфорт,передние электро-стеклоподъёмники
104191743,Комфорт,задние электро-стеклоподъёмники
104191743,Обогрев,сидений
104191743,Обогрев,лобового стекла
104191743,Обогрев,зеркал
104191743,Климат,климат-контроль
104191743,Мультимедиа,AUX или iPod
104191743,Мультимедиа,Bluetooth
104191743,Мультимедиа,USB
104191743,Фары,противотуманные
103433603,Экстерьер,легкосплавные диски
103433603,Экстерьер,рейлинги на крыше
103433603,Системы безопасности,ABS
103433603,Системы безопасности,ESP
103433603,Системы безопасности,антипробуксовочная
103433603,Системы безопасности,иммобилайзер
103433603,Системы безопасности,сигнализация
103433603,Подушки,передние
103433603,Подушки,боковые
103433603,Подушки,задние
103433603,Интерьер,светлый
103433603,Интерьер,натуральная кожа
103433603,Комфорт,круиз-контроль
103433603,Комфорт,управление мультимедиа с руля
103433603,Комфорт,электрорегулировка сидений
103433603,Комфорт,передние электро-стеклоподъёмники
103433603,Комфорт,задние электро-стеклоподъёмники
103433603,Обогрев,сидений
103433603,Обогрев,зеркал
103433603,Климат,климат-контроль
103433603,Климат,кондиционер
103433603,Мультимедиа,AUX или iPod
103433603,Мультимедиа,Bluetooth
103433603,Мультимедиа,CD или MP3
103433603,Мультимедиа,USB
103433603,Мультимедиа,мультимедийный экран
103433603,Мультимедиа,штатная навигация
103433603,Фары,противотуманные
103462231,Экстерьер,легкосплавные диски
103462231,Системы безопасности,ABS
103462231,Системы безопасности,ESP
103462231,Системы безопасности,антипробуксовочная
103462231,Системы безопасности,иммобилайзер
103462231,Подушки,передние
103462231,Подушки,боковые
103462231,Подушки,задние
103462231,Системы помощи,датчик дождя
103462231,Системы помощи,парктроники
103462231,Системы помощи,контроль мертвых зон на зеркалах
103462231,Интерьер,тёмный
103462231,Интерьер,ткань
