card_id,title,price_primary,price_secondary,comment,description,exchange
104053130,"Продажа Volkswagen Golf IV, 2002 г. в Минске",15 571 р.,≈ 5 450 $,"Популярнейший немецкий автомобиль , с надёжным,  долговечным и неприхотливым дизельным двигателем (лучшим мировым двигателем среди дизельных моторов ) , очень экономичный (5л/100км), хорошая комплектация , круиз-контроль,  велюровый салон ,кондиционер (климат-контроль ) заправлен , работает , все немецкие сервисные документы , 3 ключа . По технической части все обслужено ,  все работает( свет , повороты , задняя щетка , электростекла , подсветка номерного знака ) , заменены ремни , ролики ,тормозные колодки , тормозные диски,  амортизаторы , помпа , масло , антифриз ,  новое сцепление , мотор без нареканий ,  пороги переварены , подкрашивалась по мере необходимости , авто снят с учета , транзитные номера от 27.03 2023 , страховка , ТЕХОСМОТР пройден и переносится на нового владельца. Запаска , домкрат , балонный ключ|, аптечка - все есть. Убедительная просьба подборщикам , специалистам , автостоянкам не беспокоить .Приветствуются адекватные покупатели,  понимающие и не мечтающие о машине через 20 лет как  новой с заводского конвейера. Реальным покупателям все расскажу  и объясню. Как только продам , сниму с рекламы . Пока в рекламе - значит не продана.","2002 г., механика, 1.9 л, дизель, 273 000 км | универсал, передний привод, серебристый",Обмен не интересует
104191743,"Продажа Volkswagen Polo Sedan I · Рестайлинг, 2016 г. в Минске",35 685 р.,≈ 12 490 $,"Автомобиль находится на площадке Автоцентра ""Ждановичи"" по адресу: г. Минск, ул. Тимирязева, 114.|Комплектация Highline.|Автомобиль приобретался и частично обслуживался у официального дилера в Минске.|Один владелец.|Мы предоставляем гарантию юридической чистоты.|Возможно приобретение в кредит или лизинг.|Примем Ваш автомобиль в зачет.|Для граждан РФ возможна оплата в российских рублях официально по договору.","2016 г., автомат, 1.6 л, бензин, 151 862 км | седан, передний привод, серебристый",Возможен обмен
103433603,"Продажа Subaru Outback IV · Рестайлинг, 2013 г. в Минске",49 996 р.,≈ 17 499 $,"Самая низкая цена в СНГ!|ТОРГ у КАПОТА!|Без ДТП!|Есть отчет СarFax и Автотека!|Рестайлинг!|Версия для рынков USA.|А именно Рейлинги, as3 стекла, листва, расширители кузова и больший клиренс.|Снят с учёта для продажи. Полный пакет документов для оформления сделки и акты обслуживания с сервисов в наличии.|Расход 7 трасса / 11 город|Все кнопки работают, лампочки горят.|Хорошее состояние автомобиля, но не новая!","2013 г., вариатор, 2.5 л, бензин, 201 168 км | универсал, постоянный полный привод, чёрный",Возможен обмен
103462231,"Продажа Volvo V60 I · Рестайлинг, 2016 г. в Минске",51 713 р.,≈ 18 100 $,"Автомобиль в отличном состоянии. Двигатель Volvo 2.0 ДизельD2, Коробка автомат. Пробег 235.000 км,основной пробег по автострадам. Чистый оригинальный пробег. Шведская сборка. автоматическая остановка перед препятствиями, датчик мертвых зон, подогрев сидений.|Пригнал из Бельгии в 2020 г. (подтверждающие документы)|Полностью растаможена. 3 года в одних руках.  Прошла полное ТО по приезду в РБ.|Не требует вложений. Технический осмотр пройден.|Два ключа. Зимние и летние шины.","2016 г., автомат, 2.0 л, дизель, 235 000 км | универсал, передний привод, чёрный",Обмен не интересует
104191706,"Продажа BMW X3 G01, 2021 г. в Минске",142 712 р.,≈ 49 950 $,,"2021 г., автомат, 2.0 л, бензин, 67 000 км | внедорожник 5 дв., постоянный полный привод, чёрный",Возможен обмен
104174962,"Продажа BMW 5 серия E60, E61, 2006 г. в Витебске",25 713 р.,≈ 9 000 $,"Машина в хорошем состоянии, стоит контрактный мотор 2,5 бензин 91000 пробег. Менял в ноябре 2022 года.|Так же перебиралась подвеска, есть нюансы по кузову ( предоставлено на фото ).|Масло менялось 3000 км назад.|Не работает датчик масла.|Едет бодро, коробка не пинает.|ТО до 05.2023|Торг на месте.|Если есть вопросы - звоните или пишите.","2006 г., автомат, 2.5 л, бензин, 253 200 км | седан, задний привод, чёрный",Обмен не интересует
104191569,"Продажа Geely Emgrand X7 I · 2-й рестайлинг, 2018 г. в Минске",48 542 р.,≈ 16 990 $,"Автомобиль в идеальном состоянии, как технически, так и внешне. Один собственник. Покупался новым у ОД. Есть все подтверждающие документы. Оригинальный пробег и лакокрасочное покрытие. Вся электрика исправна. Хорошая комплектация. Ухоженный салон. Бережная эксплуатация. Отличный, вместительный, комфортный, семейный, экономичный и надёжный автомобиль. Полностью обслужен. Установлено газовое оборудование (Пропан-бутан). Своевременное обслуживание газового оборудования. В ходе диагностики, не выявлено никаких недостатков. На данный момент не требует абсолютно никаких вложений.|Мы находимся по адресу Дунина-Марцинкевича 3/1 на минус 2-ом уровне крытого паркинга ТЦ «Тивали» где всегда тепло и сухо, так что вне зависимости от погоды, Вы можете комфортно и внимательно его осмотреть. Всего в 300м. от ст.м ""Спортивная"" и 600м от ст.м ""Пушкинская"".|Осмотр автомобилей только по записи. Огромная просьба звонить перед выездом к нам на площадку.|- снят с учёта;|- готова к продаже;|- продажа в Кредит и Лизинг;|- гарантия юридической чистоты;|- приём авто в Зачет (trade-in);|- наши Авто проходят диагностику и предпродажную проверку;|- аргументированный торг.|ООО ""Авалон Авто"" думает и заботится о своих клиентах, поэтому приобрести любой из наших автомобилей, Вы можете в любое время, 7 дней в неделю с 10-00 до 19-00, после 19-00 по предварительному звонку.|Режим работы:|Понедельник - суббота: 10.00 - 19.00|Воскресенье: 10.00 - 17.00","2018 г., автомат, 2.0 л, бензин (пропан-бутан), 84 313 км | внедорожник 5 дв., передний привод, чёрный",Обмен не интересует
101923043,"Продажа Porsche 924, 1979 г. в Минске",91 141 р.,≈ 31 900 $,"• Автомобиль находится на нашей площадке на 3-м этаже в ТРЦ ""Арена Сити"" на пр.Победителей 84 (отдельный заезд со стороны проспекта на 3й уровень паркинга)|• У нас Вы можете получить индивидуальные условия покупки, пройти тест-драйв на выбранном автомобиле, получить предложения по страхованию, кредиту и лизингу, в том числе для физических лиц. Работаем без выходных.|• Для покупателей из РФ возможна оплата в российских рублях и оформление документов (СБКТC, ЭПТС и т.д.)|Для владельцев автомобилей у нас есть:|• Комиссионная продажа с качественной предпродажной подготовкой - бесплатно|• Обмен вашего автомобиля на новый по программе Trade In|• Срочный выкуп|• Возможность постановки на продажу автомобилей на учете|_______________________________________________________________|Porsche 924 саrrera GT replika|Машина в прекрасном состоянии, при создании было максимально воссоздан внешний вид оригинала Porsche 924 Carrera GT.|Все в отличном техническом состоянии, КПП(dogleg)|Двигатель 2.0 бензиновый, 125 л.с.|Подвеска, вентилируемые тормозные диски от Porsche 944. Оригинальные литые разно-широкие диски Fuchs.","1979 г., механика, 2.0 л, бензин, 33 474 км | купе, задний привод, красный",Возможен обмен
104081651,"Продажа Alfa Romeo Stelvio, 2019 г. в Минске",85 427 р.,≈ 29 900 $,"• Автомобиль находится на нашей площадке на 3-м этаже в ТРЦ ""Арена Сити"" на пр.Победителей 84 (отдельный заезд со стороны проспекта на 3й уровень паркинга)|• У нас Вы можете получить индивидуальные условия покупки, пройти тест-драйв на выбранном автомобиле, получить предложения по страхованию, кредиту и лизингу, в том числе для физических лиц. Работаем без выходных.|• Для покупателей из РФ возможна оплата в российских рублях и оформление документов (СБКТC, ЭПТС и т.д.)|Для владельцев автомобилей у нас есть:|• Комиссионная продажа с качественной предпродажной подготовкой - бесплатно|• Обмен вашего автомобиля на новый по программе Trade In|• Срочный выкуп|• Возможность постановки на продажу автомобилей на учете|________________________|Система старт-стоп|Датчик света|Датчик дождя|Электроподогрев зеркал|Электропривод багажника|Заводская тонировка|Обогрев заднего стекла|Бесключевой доступ|Климат-контроль|Камера заднего обзора|Антипробуксовочная система (TCS)|Система помощи при старте на подъеме (HAC)|Система электронного контроля устойчивости (ESP)|Круиз-контроль|Система мониторинга «слепых зон»","2019 г., автомат, 2.0 л, бензин, 38 140 км | внедорожник 5 дв., задний привод, коричневый",Возможен обмен
104080467,"Продажа BMW 4 серия G22, G23, 2021 г. в Минске",185 711 р.,≈ 65 000 $ c НДС,"Стоимость с НДС.|• Автомобиль находится на нашей площадке на 3-м этаже в ТРЦ ""Арена Сити"" на пр.Победителей 84 (отдельный заезд со стороны проспекта на 3й уровень паркинга)|• Возможна продажа в лизинг или рассрочку (для юр.лиц) в BYN до 2 лет без первоначального взноса и залога.|• У нас Вы можете получить индивидуальные условия покупки, пройти тест-драйв на выбранном автомобиле, получить предложения по страхованию. Работаем без выходных.|• Для покупателей из РФ возможна оплата в российских рублях и оформление документов (СБКТC, ЭПТС и т.д.)|Для владельцев автомобилей у нас есть:|• Комиссионная продажа с качественной предпродажной подготовкой - бесплатно|• Обмен вашего автомобиля на новый по программе Trade In|• Срочный выкуп|• Возможность постановки на продажу автомобилей на учете|________________________|BMW G22 420I|Автомобиль в отличном состоянии. Приобретался и обслуживался у официального дилера BMW. Автомобиль с НДС.|________________________|Цвет - Portimao blau metallic|S337 М cпорт пакет|S710 Кожаный руль М|S715 М-Пакет аэродинамики|S430 Внутреннее/наружное зеркало с автоматическим затемнением|S431 Внутреннее зеркало с автоматическим затемнением|S459 Регулировка сиденья, электрическая, с памятью|S490 Регулировка ширины спинки сиденья|S493 Пакет отсеков для хранения|S494 Обогрев сидений водителя/пассажира|S676 Hi-Fi акустическая система|S6C3 Подключенный пакет рrofessional|S6U3 Рабочая зона BMW Live Professional|S534 Автоматический кондиционер|S544 Круиз-Контроль с функцией торможения|S5A1 Светодиодные противотуманные фары|S5DM Система помощи при парковке|S248 Подогрев руля|S2NH М спортивный тормоз|S2VB Отображение давления в шинах|С2ВЛ Регулируемое спортивное рулевое управление|S322 Комфортный доступ|S8TF Активная защита пешеходов","2021 г., автомат, 2.0 л, бензин, 35 930 км | купе, задний привод, синий",Возможен обмен
